GEOID,pop,lon,lat
8053,843,-107.3003118,37.82134158
8055,6711,-104.9605845,37.68467964
8057,1394,-106.3427947,40.66643269
8059,534543,-105.2504722,39.58642248
8061,1398,-102.7403582,38.4326824
8063,8270,-102.6028874,39.30544133
8065,7310,-106.3448377,39.20237947
8067,51334,-107.8433355,37.28655819
8069,299630,-105.4611555,40.6664135
8071,15507,-104.0387164,37.31585081
8073,5467,-103.5139654,38.98806854
8075,22709,-103.1101028,40.72467811
8077,146723,-108.4664507,39.01827889
8079,712,-106.9240946,37.66899568
8081,13795,-108.2072983,40.61842519
8083,25535,-108.596713,37.33841377
8085,41276,-108.2693558,38.40218471
8087,28159,-103.8098213,40.26270701
8089,18831,-103.7164457,37.90270172
8091,4436,-107.7693169,38.15549724
8093,16206,-105.7171746,39.11930278
8095,4442,-102.3575796,40.59388432
8097,17148,-106.9165778,39.21710577
8099,12551,-102.393349,37.9551832
8101,159063,-104.5128468,38.17342388
8103,6666,-108.2172083,39.97984112
8105,11982,-106.3832105,37.58252275
8107,23509,-106.9911932,40.48506795
8109,6108,-106.2815555,38.08055272
8111,699,-107.6761472,37.76404317
8113,7359,-108.4058462,38.00374472
8115,2379,-102.3517912,40.87590497
8117,27994,-106.116379,39.63417045
8119,23350,-105.1618264,38.88217207
8121,4814,-103.2012529,39.97106179
8123,252825,-104.3925254,40.55483961
8125,10043,-102.4242263,40.00289933
9001,916829,-73.37120446,41.22496018
9003,894014,-72.73284531,41.80641857
9005,189927,-73.24532379,41.79249425
9007,165676,-72.52311936,41.43538137
9009,862477,-72.89986024,41.34882047
9011,274055,-72.10648838,41.46672263
9013,152691,-72.33648951,41.85500856
9015,118428,-71.98755028,41.82995983
10001,162310,-75.50461389,39.09595403
10003,538479,-75.63898206,39.57832752
10005,197145,-75.33953946,38.68330287
11001,601723,-77.01628888,38.90477236
12001,247336,-82.35770148,29.67475507
12003,27115,-82.28458727,30.33107102
12005,168852,-85.6326228,30.23764655
12007,28520,-82.16877865,29.94996085
12009,543376,-80.70120552,28.30031415
12011,1748066,-80.45588593,26.15185635
12013,14625,-85.19720725,30.40603421
12015,159978,-81.95031029,26.89984869
12017,141236,-82.52010046,28.84758139
12019,190865,-81.85788492,29.98306665
12021,321520,-81.38097302,26.09923897
12023,67531,-82.62153896,30.22424023
12027,34862,-81.80929992,27.18632199
12029,16422,-83.18703245,29.58124154
12031,864263,-81.64800888,30.33544076
12033,297619,-87.34136419,30.61439639
